codigo,nome,cientifico,grupo,Alfa-tocoferol (Vitamina E) (mg),Açúcar de adição (g),Carboidrato disponível (g),Carboidrato total (g),Cinzas (g),Cobre (mg),Colesterol (g),Colesterol (mg),Cálcio (mg),Energia (kJ),Energia (kcal),Equivalente de folato (mcg),Ferro (mg),Fibra alimentar (g),Fósforo (mg),Gordura de adição (g),Lipídios (g),Magnésio (mg),Niacina (mg),Potássio (mg),Proteína (g),Proteína animal (g),Proteína vegetal (g),Riboflavina (mg),Sal de adição (g),Selênio (mcg),Sódio (mg),Tiamina (mg),Umidade (g),Vitamina A (RAE) (mcg),Vitamina A (RE) (mcg),Vitamina B12 (mcg),Vitamina B6 (mg),Vitamina C (mg),Vitamina D (mcg),Zinco (mg),Ácidos graxos monoinsaturados (g),Ácidos graxos poliinsaturados (g),Ácidos graxos saturados (g),Ácidos graxos trans (g),Álcool (g)
C0480E,"Peixe, água doce, Tucunaré, filé, congelado, frito (c/ óleo de soja), c/ sal, Cichla ocellaris spp.,",,Pescados e Frutos do mar,0.84,0.00,0.00,0.00,1.49,0.18,,84.6,23.0,1044,251,14.5,0.33,0.00,201,,17.2,32.6,1.14,406,24.0,,,0.06,0.50,31.1,71.8,0.00,57.3,,,4.53,,0.82,1.41,0.59,4.23,9.67,3.45,0.09,0.00
C0516F,"Carne, boi, acém, s/ gordura, cozida, c/ pequi, pimentão, c/ óleo, cebola e alho, c/ noz moscada, c/ pimenta do reino, c/ sal,",,Carnes e derivados,0.32,0.00,1.90,3.76,1.21,0.12,,90.7,14.7,895,215,7.82,1.85,1.86,125,,13.9,17.2,1.48,233,19.7,,,0.09,0.45,0.06,219,0.03,61.4,82.7,165,1.88,0.08,11.5,1.94,5.72,4.32,1.41,6.11,0.22,0.00
C0334E,"Mariscada, c/ sal, (mexilhão sururu, camarão, lula, polvo e ostra, tomate, pimentão, coentro, leite de coco, c/ azeite de dendê, c/ óleo, cebola e alho, c/ sal),",,Pescados e Frutos do mar,1.11,0.00,3.28,4.72,2.21,1.84,,67.6,38.0,560,134,28.4,12.8,1.44,170,,6.34,25.9,2.03,271,13.2,,,0.12,0.45,11.8,224,0.11,73.6,236,348,9.61,0.18,12.6,0.01,13.1,1.97,1.72,1.99,0.01,0.00
C0732F,"Carne, boi, de segunda (acém, capa de contrafilé, costela, músculo, paleta, peito), cozida/grelhada/assada, s/ óleo, c/ sal, Bos taurus,",,Carnes e derivados,0.43,0.00,0.00,0.00,1.70,0.08,,84.2,9.24,1062,254,10.4,2.26,0.00,182,,15.7,17.1,2.12,262,28.4,,,0.13,0.80,4.50,385,0.01,55.0,,,3.19,,0.00,0.15,6.22,6.70,0.26,6.80,0.39,0.00
C0102G,"Bebida, leite integral, c/ chocolate em pó (10%), c/ açúcar,",,Bebidas,0.07,6.00,13.5,13.5,0.82,0.02,,10.4,103,398,95,7.62,1.48,0.00,143,,3.07,59.1,1.50,267,3.28,,,0.23,0.00,4.04,55.7,0.04,79.4,41.0,41.7,0.31,0.01,,0.82,1.02,0.90,0.11,1.90,0.00,0.00
C0628A,"Ravioli, c/ carne moída refogada, s/ molho, caseiro, c/ sal, (massa com farinha de trigo, carne bovina, patinho moído, refogada, c/ óleo, cebolha e alho, c/ sal),",,Cereais e derivados,0.14,0.00,27.9,29.3,0.98,0.07,,24.1,9.55,701,166,80.3,1.98,1.49,58.1,,2.25,5.05,3.95,80.6,7.77,,,0.02,0.47,3.44,224,0.05,59.7,5.97,5.98,0.36,0.00,0.04,0.08,1.12,0.78,0.41,0.97,0.02,0.00
C0346N,"Papa de carne bovina moída (acém), arroz e brócolis, c/ caldo de frango, c/ cebola e óleo de soja, s/ sal,",,Alimentos para fins especiais,0.48,0.00,5.12,6.10,0.60,0.08,,41.3,16.7,534,128,20.2,1.10,0.98,77.7,,6.52,13.2,0.70,156,11.6,,,0.02,0.00,0.43,50.8,0.01,75.1,45.5,90.5,1.02,0.04,9.75,1.05,3.18,1.93,1.48,2.49,0.15,0.00
C0236A,"Macarrão, trigo, integral, c/ molho branco (leite, manteiga e farinha de trigo), s/ sal,",,Cereais e derivados,0.35,0.00,21.5,24.4,0.43,0.06,,3.71,39.4,578,137,18.7,0.46,2.86,66.1,,2.79,13.2,2.03,78.5,5.01,,,0.11,0.00,3.67,21.3,0.09,67.4,19.5,19.8,0.11,0.06,0.00,0.00,0.45,0.63,0.75,1.16,0.01,0.00
C0582B,"Salada, alface crespa, c/ molho de salada - salsa, vinagre de maçã, azeite de oliva, c/ sal,",,Vegetais e derivados,0.84,0.00,0.38,2.00,0.85,0.04,,0.00,42.3,171,41,32.8,0.52,1.74,25.6,,3.51,10.8,1.01,273,1.34,,,0.12,0.32,0.21,56.9,0.10,92.3,168,337,0.00,0.03,16.3,0.00,0.32,2.45,0.46,0.69,0.00,0.00
C0540N,"Papa de carne bovina moída (patinho), cará e brócolis, c/ caldo de carne, c/ cebola e óleo de soja, s/ sal,",,Alimentos para fins especiais,0.57,0.00,3.89,5.15,0.74,0.09,,44.5,15.2,485,116,23.6,1.28,1.26,117,,4.75,16.4,1.09,239,13.7,,,0.02,0.00,0.18,22.5,0.05,75.6,43.6,86.8,1.48,0.03,9.22,,3.00,1.58,1.36,1.46,0.08,0.00
C0035E,"Peixe, água salgada, abadejo, filé, congelado, cru,",,Pescados e Frutos do mar,,0.00,0.00,0.00,0.63,0.14,,31.4,10.2,234,55,9.21,0.11,0.00,90.5,,0.36,14.5,4.60,148,13.0,,,,0.00,,78.5,0.04,86.0,,,1.63,,0.00,,0.39,,0.10,0.10,,0.00
C0624N,"Papa de carne bovina moída (patinho), arroz branco e brócolis, c/ caldo de carne, c/ cebola e óleo de soja, c/ sal,",,Alimentos para fins especiais,0.55,0.00,6.36,7.41,1.01,0.10,,41.9,15.9,523,125,22.5,1.23,1.04,111,,4.90,17.9,1.03,200,13.2,,,0.02,0.25,0.41,158,0.02,73.4,45.5,90.5,1.40,0.01,9.77,0.00,2.89,1.58,1.50,1.45,0.08,0.00
C0150T,"Quibe vegetariano com cenoura, s/ sal, (trigo para quibe e proteína de soja texturizada (hidratados com caldo de legumes), alho, cebola, cenoura, hortelã, c/ pimenta-do-reino, s/ sal),",,Leguminosas e derivados,0.25,0.00,13.9,18.0,2.08,0.02,,0.00,41.2,521,123,39.1,2.98,4.14,155,,0.58,19.0,0.82,95.2,13.6,,,0.03,0.00,0.11,178,0.17,65.8,63.3,122,0.00,0.06,0.73,0.00,0.92,0.12,0.30,0.08,0.00,0.00
C0455N,"Papa de carne bovina moída (acém), cará e brócolis, c/ caldo de carne, c/ cebola e óleo de soja, c/ sal,",,Alimentos para fins especiais,0.51,0.00,3.97,5.23,0.82,0.08,,37.8,16.0,482,115,20.9,1.05,1.26,73.9,,6.00,11.9,0.61,180,10.7,,,0.02,0.25,0.18,120,0.03,77.2,43.6,86.8,0.95,0.06,9.21,0.97,2.95,1.79,1.36,2.30,0.14,0.00
C0270B,"Abóbora, moranga, s/ casca, cozida, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ salsa, c/ pimenta-do-reino, c/ sal, Curcubita spp.,",,Vegetais e derivados,1.40,0.00,2.28,4.78,1.27,0.07,,0.00,8.88,131,32,9.60,0.18,2.50,15.6,,1.33,5.28,0.01,133,1.38,,,0.01,0.00,0.91,280,0.03,91.2,148,296,0.00,0.06,10.3,0.00,0.12,0.29,0.73,0.21,0.00,0.00
C1159A,"Panqueca, c/ recheio de creme de avelã, s/ cobertura, (massa - leite, farinha de trigo e ovo, creme de avelã),",,Cereais e derivados,3.17,,44.7,48.1,1.52,0.30,48.7,,100,1712,410,41.4,3.54,3.37,146,,21.8,44.3,0.93,306,6.95,,,0.24,,6.26,96.4,0.11,21.8,35.4,35.7,0.34,0.05,,0.24,1.00,1.49,2.12,17.1,0.03,0.00
C0076K,"Sagu, morango, mistura p/, preparada,",,Produtos açucarados,0.00,,30.4,30.4,0.00,,,0.00,6.83,517,122,1.37,0.54,,2.39,,,0.34,0.00,3.76,0.00,,,0.00,,,0.34,0.00,69.6,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,,0.00
C0091K,"Sagu, mandioca, preparado c/ vinho tinto, c/ açúcar,",,Produtos açucarados,0.00,40.0,48.3,48.4,0.22,0.03,,0.00,20.9,849,200,0.48,1.05,0.09,7.15,,0.01,11.6,0.01,80.0,0.16,,,0.01,0.00,0.08,5.15,,51.3,0.00,0.00,0.00,,,0.00,0.08,0.00,0.00,0.00,0.00,0.00
C0381N,"Creme de morango, c/ banana, c/ iogurte natural, s/ açúcar,",,Alimentos para fins especiais,0.15,0.00,10.7,11.9,0.76,0.05,,4.41,59.3,272,65,16.3,0.25,1.17,49.8,,1.15,17.0,,184,2.23,,,0.12,0.00,0.83,22.4,0.02,84.0,19.5,24.8,0.15,0.05,24.8,0.03,0.21,0.31,0.12,0.60,0.00,0.00
C1150A,"Risoto de carne bovina, c/ arroz polido, c/ sal, (arroz polido, carne bovina filé mignon, tomate, vinho branco, queijo parmesão, c/ azeite de oliva, manteiga, cebola e alho, c/ sal),",,Cereais e derivados,0.38,,9.33,9.93,1.42,0.13,54.2,,46.0,853,204,10.5,1.59,0.60,183,,10.3,23.0,2.02,190,17.3,,,0.06,0.00,5.15,258,0.02,61.0,28.6,27.4,0.68,0.05,2.06,0.08,2.27,4.11,0.65,4.54,0.19,0.00
C0028A,"Biscoito, doce, Maria, Marilan,",,Cereais e derivados,,,73.4,76.2,1.70,0.17,,0.00,55.1,1828,434,202,1.78,2.80,168,,10.8,37.6,3.96,143,9.30,,,0.42,,,356,1.02,2.00,1.02,,0.21,0.23,6.29,0.00,1.04,3.34,1.99,3.52,1.43,0.00
C0152B,"Abobrinha, italiana, c/ casca, cozida, drenada, s/ óleo, c/ sal,",,Vegetais e derivados,0.08,0.00,1.32,2.82,0.43,0.01,,0.00,15.9,60,14,26.2,0.15,1.51,21.3,,0.23,16.0,,119,0.99,,,,0.32,0.07,128,0.05,95.5,38.2,76.3,0.00,0.06,2.02,0.00,0.24,,0.12,0.12,0.00,0.00
C0722A,"Arroz com frango e pequi, c/ arroz polido, c/ sal, (arroz polido, frango, pequi, salsa, c/ óleo, cebola e alho, c/ pimenta-do-reino, c/ sal),",,Cereais e derivados,0.30,0.00,12.2,14.4,1.12,0.14,,39.6,12.2,795,190,4.53,0.44,2.16,94.3,,9.99,20.3,5.46,135,11.8,,,0.06,0.47,0.69,209,0.06,62.7,0.00,0.00,0.07,0.02,2.80,0.00,0.81,1.36,1.49,1.16,0.05,0.00
C0022J,"Ovo, galinha, gema, cozida/10 min., c/ sal,",,Ovos e derivados,14.0,0.00,1.55,1.55,2.20,0.00,,1266,114,1429,345,145,2.91,0.00,383,,30.6,9.33,,87.0,15.8,,,0.22,0.47,33.8,232,0.18,49.8,,,1.94,,0.00,6.23,2.86,12.0,3.98,9.16,0.08,0.00
C0581B,"Salada, alface crespa, c/ molho de salada - salsa, suco de limão, azeite de oliva, c/ sal,",,Vegetais e derivados,1.44,0.00,1.00,2.62,1.01,0.05,,0.00,49.4,303,73,36.4,0.64,1.73,26.5,,6.75,10.9,0.94,284,1.40,,,0.11,0.32,0.23,108,0.12,88.2,172,345,0.00,0.05,19.5,0.00,0.33,4.81,0.82,1.15,0.00,0.00
C1094A,"Macarrão, trigo integral, c/ carne bovina músculo, gratinado, c/ molho branco (manteiga, farinha de trigo e leite) e queijo parmesão, salsa, pimenta-do-reino, c/ sal,",,Cereais e derivados,0.40,,16.1,18.4,0.62,0.07,,15.9,51.2,644,153,18.0,0.77,2.23,91.7,,5.40,13.5,1.77,116,8.92,,,0.09,0.00,3.19,48.9,0.07,66.7,32.1,33.2,0.31,0.06,0.52,0.35,1.39,1.50,0.93,2.44,0.10,0.00
C0222F,"Bife à cavalo, s/ sal, (carne bovina contra-filé, ovo, c/ óleo, s/ sal),",,Carnes e derivados,,0.00,0.00,0.00,1.12,0.06,,256,26.0,1184,285,,2.10,,215,,21.1,19.5,2.92,272,23.7,,,0.10,0.00,,82.9,0.05,54.1,,,,,,,3.21,8.20,3.26,7.94,0.40,0.00
C0063A,"Bolo, mistura p/, preparado (média de diferentes sabores),",,Cereais e derivados,0.60,,49.3,49.7,1.33,0.06,,73.7,74.8,1422,339,74.0,2.30,0.43,187,,12.9,16.1,,152,6.10,,,0.07,,,179,0.13,30.0,,,0.34,0.01,,0.74,0.56,4.25,1.85,4.97,1.99,0.00
C0606A,"Macarrão, trigo, integral, c/ frango e cogumelos, c/ sal, (massa com trigo integral, peito de frango, cogumelo paris e shiitake, salsa, cebolinha, c/ óleo, cebola e alho, c/ sal),",,Cereais e derivados,0.28,0.00,16.7,19.5,0.50,0.17,,9.34,12.4,497,118,17.9,0.58,2.82,75.8,,1.91,13.4,4.39,134,7.03,,,0.08,0.00,6.11,25.6,0.09,71.0,5.94,11.9,0.02,0.36,1.38,0.07,0.56,0.43,0.90,0.43,0.01,0.00
C0511F,"Carne, frango, peito, c/ batata, c/ óleo, cebola e alho, c/ sal,",,Carnes e derivados,0.35,0.00,4.89,5.61,1.21,0.04,,48.7,5.92,504,120,6.01,0.29,0.72,137,,2.97,10.6,4.18,234,18.0,,,0.00,0.45,6.47,200,0.08,72.2,0.00,0.00,0.07,0.05,1.99,0.00,0.62,0.89,1.06,0.80,0.03,0.00
C0208F,"Salame, porco, lanche (média de vários tipos),",,Carnes e derivados,0.65,,2.45,2.45,6.26,0.18,,85.1,58.5,1665,401,0.00,1.51,,361,,31.9,30.0,12.5,545,26.0,,,0.23,,,1919,0.88,33.4,1.01,,0.12,,0.00,0.91,6.53,12.1,4.67,9.57,0.10,0.00
C0039F,"Carne, boi, lagarto, cozida, s/ óleo, s/ sal, Bos taurus,",,Carnes e derivados,0.70,0.00,0.00,0.00,0.88,0.05,,55.7,3.53,891,212,6.15,1.85,0.00,167,,9.11,13.0,2.55,254,32.7,,,,0.00,,47.5,,57.4,2.90,2.90,2.85,,0.00,0.00,6.96,4.00,0.20,3.90,0.22,0.00
C1022B,"Couve-flor, c/ molho branco (farinha de trigo, manteiga e leite), queijo parmesão, c/ sal,",,Vegetais e derivados,0.47,0.00,5.89,7.44,1.46,0.03,,9.63,159,474,114,28.2,0.40,1.55,127,,7.18,11.5,0.67,116,5.51,,,0.15,,4.87,301,0.04,78.4,37.8,40.0,0.29,0.02,13.1,0.07,0.77,1.78,0.95,3.64,0.14,0.00
C0254E,"Moqueca de camarão, s/ sal, (camarão, tomate, pimentão, coentro, leite de coco, azeite de dendê, c/ óleo, cebola e alho, s/ sal),",,Pescados e Frutos do mar,1.43,0.00,1.52,2.89,1.22,0.29,,168,66.5,478,114,20.3,2.22,1.37,195,,4.93,16.0,0.25,117,13.1,,,,0.00,0.19,281,,77.6,197,348,1.12,0.02,9.11,0.05,0.86,1.57,1.24,1.73,0.01,0.01
C1145B,"Cogumelo, refogado (c/ óleo de soja), cebola e alho, c/ sal (média de diferentes tipos),",,Vegetais e derivados,0.16,0.32,6.69,10.3,1.17,0.53,0.00,,4.12,246,59,13.0,1.20,3.63,95.5,,1.60,15.7,18.0,324,2.62,,,0.36,0.00,12.1,204,0.28,84.3,,,,1.29,1.81,0.28,1.15,0.30,0.79,0.22,0.01,0.00
C1145A,"Bolo, trigo, branco, simples, (farinha de trigo, leite, margarina, ovo, açúcar e fermento químico),",,Cereais e derivados,1.61,0.00,54.9,55.8,0.80,0.07,,100,41.2,1800,429,74.4,2.36,0.83,98.5,,19.9,15.1,0.75,119,7.17,,,0.18,30.0,7.21,76.9,0.10,16.6,160,160,0.27,0.00,0.00,0.51,0.72,5.65,5.68,4.87,2.45,0.00
C0169T,"Soja, proteína, texturizada, hidratada (c/ caldo de legumes), refogada, c/ óleo, cebola e alho, c/ sal,",,Leguminosas e derivados,0.20,0.00,17.3,21.8,3.94,0.02,,0.00,52.9,782,185,2.13,4.06,4.51,232,,1.53,12.4,0.35,51.2,23.2,,,0.02,0.45,0.07,424,0.00,49.5,12.1,24.2,0.00,0.04,0.72,0.00,1.21,0.40,0.80,0.25,0.01,0.00
C0477E,"Peixe, água doce, Pirarucu, cultivado em Rondonia, cozido (a partir do peixe fresco), c/ cebolinha, alho, cúrcuma, pimenta-do-reino, c/ sal (média de peixes com diferentes pesos e cortes), Arapaima gigas,",,Pescados e frutos do mar,0.01,0.45,0.08,0.12,1.86,0.07,42.9,,17.1,559,133,0.16,0.06,0.04,198,,3.38,29.9,2.35,292,25.4,,,0.04,0.00,0.01,276,0.04,69.1,0.53,1.04,1.42,0.13,0.11,,0.79,0.05,0.80,0.50,0.02,0.00
C1071B,"Farofa, farinha de milho e cenoura, c/ sal, (farinha de milho, cenoura, salsinha e cebolinha, c/ pimenta do reino, c/ óleo de soja e cebola, c/ sal),",,Vegetais e derivados,0.43,0.00,13.5,15.4,0.90,0.04,,0.00,9.56,613,147,39.1,0.73,1.93,22.9,,9.08,5.93,0.39,92.7,1.56,,,,0.32,0.70,256,0.02,73.1,76.7,153,0.00,0.07,1.03,0.00,0.18,2.13,5.34,1.48,0.04,0.00
C0944A,"Macarrão de arroz, com legumes e carne suína, c/ molho shoyu, (macarrão de arroz, carne suína (lombo), acelga, broto de feijão, pimentão, cenoura, brócolis, cogumelo Paris, cebola, cebolinha, c/ óleo de gergelim, c/ molho shoyu),",,Cereais e derivados,0.36,,10.9,12.2,1.14,0.07,,20.6,14.6,488,116,10.1,0.36,1.32,72.2,,3.71,9.45,2.87,134,9.01,,,0.04,,4.56,220,0.19,73.7,31.5,61.3,0.11,0.05,9.51,0.11,0.57,1.39,1.01,0.85,0.01,0.00
C0415N,"Papa de batata, cenoura e carne bovina moída (acém), c/ caldo de carne, c/ cebola, s/ óleo, s/ sal,",,Alimentos para fins especiais,0.24,0.00,5.37,6.49,0.57,0.05,,37.4,7.88,418,100,6.28,0.95,1.12,72.9,,3.87,9.72,0.92,238,10.3,,,,0.00,0.14,21.7,0.03,78.8,66.1,132,0.94,0.07,1.76,0.97,2.91,1.30,0.13,1.93,0.11,0.00
C0233E,"Peixe, água salgada, pescada, branca, assado/grelhado, c/ manteiga e cogumelos (paris, shiitake), c/ sal,",,Pescados e Frutos do mar,1.05,0.00,1.54,1.96,1.56,0.14,,59.5,16.8,626,150,14.5,0.36,0.42,131,,8.66,19.5,1.10,262,16.2,,,0.08,0.45,36.1,294,0.01,71.6,2.43,2.43,2.10,0.37,0.41,4.39,0.46,3.37,0.94,3.29,0.17,0.00
C0650B,"Salada, vegetais cozidos, c/ azeite de oliva, c/ sal, (brócolis, cenoura e couve-flor cozidos, c/ azeite de oliva, c/ sal),",,Vegetais e derivados,1.71,0.00,1.48,3.88,0.72,0.03,,0.00,28.3,228,55,39.4,0.31,2.39,24.9,,4.29,9.80,0.56,160,1.45,,,0.01,0.32,0.31,130,0.04,89.7,164,329,0.00,0.01,22.0,0.00,0.21,2.92,0.57,0.65,0.04,0.00
C0262A,"Sanduíche, misto quente, pão forma tradicional, c/ presunto, queijo muçarela, c/ manteiga,",,Cereais e derivados,0.33,,21.4,22.5,2.76,0.09,,46.0,240,1175,281,58.9,1.68,1.12,255,,15.4,32.9,0.97,204,13.7,,,0.07,,4.09,833,0.17,45.6,0.00,0.00,0.71,0.06,0.82,0.13,1.94,3.87,0.71,8.20,0.57,0.00
C0282A,"Sanduíche, queijo quente, pão francês, c/ queijo prato, c/ margarina,",,Cereais e derivados,0.84,,29.4,30.7,2.36,0.10,,34.5,349,1456,349,78.1,2.27,1.30,237,,20.3,23.6,1.23,106,14.6,,,0.44,,11.5,568,0.20,31.3,103,105,1.05,0.32,0.00,0.20,1.76,5.08,3.03,8.33,1.67,0.00
C0031B,"Pimentão, vários tipos, cru (média de diferentes amostras), Capsicum annuum L.,",,Vegetais e derivados,1.13,0.00,3.57,5.25,0.46,0.05,,0.00,7.99,103,24,26.5,0.39,1.67,19.6,,0.27,10.5,,202,1.10,,,0.03,0.00,0.20,,0.03,92.9,19.9,39.8,0.00,0.03,153,0.00,0.17,0.01,0.08,0.05,0.00,0.00
C0719A,"Arroz com jambu, c/ arroz polido, s/ sal, (arroz polido, jambu, c/ óleo, cebola e alho, s/ sal),",,Cereais e derivados,0.30,0.00,22.1,24.0,0.57,0.12,,0.00,5.14,526,125,2.72,1.55,1.90,20.5,,2.45,18.6,,39.1,2.58,,,,0.00,1.26,1.29,,70.4,0.00,0.00,0.00,0.02,0.79,0.00,0.40,0.53,1.30,0.43,0.01,0.00
C0193B,"Salada, chuchu, s/ casca, cozido, c/ molho vinagrete (tomate, cebola, salsinha, vinagre e óleo), s/ sal, Sechium edule,",,Vegetais e derivados,0.54,0.00,4.10,5.37,0.26,0.01,,0.00,12.9,188,45,17.4,0.20,1.27,16.0,,2.65,7.81,0.02,94.4,0.61,,,0.01,0.00,0.23,2.36,0.04,91.1,15.3,30.6,0.00,0.03,7.10,0.00,0.24,1.91,0.29,0.40,0.00,0.00
C0216C,"Suco natural, abacaxi e morango, s/ açúcar,",,Frutas e derivados,0.11,0.00,3.13,3.78,0.19,0.03,,0.00,7.35,70,17,7.90,0.16,0.65,9.68,,0.17,5.86,,51.4,0.34,,,0.01,0.00,0.17,3.49,0.03,95.5,0.00,0.00,0.00,0.01,24.8,0.00,0.05,0.02,0.10,0.01,0.00,0.00
C0433B,"Salada, c/ arroz integral, c/ azeite de oliva, s/ sal, (arroz integral, aipo (salsão), pimentão verde e vermelho, salsa, azeitona preta, vinagre de maçã, c/ azeite de oliva, s/ sal),",,Vegetais e derivados,1.33,0.00,11.9,13.8,0.70,0.08,,0.00,22.1,481,115,20.7,0.67,1.85,30.7,,6.30,15.8,0.03,131,1.70,,,0.01,0.00,0.53,77.2,0.05,77.5,84.1,168,0.00,0.09,33.3,0.00,0.29,4.23,0.84,1.03,0.00,0.00
C1111B,"Salpicão de legumes, c/ sal, (batata, maçã, pimentão verde e vermelho, cenoura, noz, uva passa, cebola, aipo (salsão), maionese, creme de leite, molho de mostarda, pimenta do reino, c/ sal),",,Vegetais e derivados,0.47,,12.2,14.1,1.19,0.10,9.07,,20.7,544,131,9.98,0.35,1.90,50.1,,7.97,16.6,0.09,284,1.64,,,0.02,,0.95,228,0.04,75.1,55.2,101,0.01,0.06,10.2,0.07,0.23,1.47,3.89,1.53,0.06,0.00
C0767A,"Sanduíche, pão forma integral, c/ alface, tomate, cenoura e pepino,",,Cereais e derivados,1.17,,22.7,26.3,1.45,0.10,,0.00,76.3,565,134,56.7,1.66,3.70,107,,1.36,35.0,0.22,203,5.87,,,0.05,,2.91,250,0.07,65.0,96.1,192,0.00,0.08,6.20,0.00,0.89,0.28,0.43,0.29,0.10,0.00
C0176N,"Papa de carne bovina moída (patinho), fubá e couve, c/ caldo de frango, c/ cebola e óleo de soja, c/ sal,",,Alimentos para fins especiais,0.54,0.00,7.18,9.10,1.02,0.04,,0.74,106,266,64,24.9,0.71,1.92,23.8,,2.47,20.1,0.62,294,2.21,,,0.08,0.25,0.45,133,0.07,85.2,105,210,0.00,0.02,16.2,0.00,0.11,0.55,1.37,0.41,0.01,0.00
C0987A,"Risole, recheado c/ brócolis e queijo muçarela, caseiro, frito, (farinha de trigo, leite, margarina, brócolis, queijo muçarela, farinha de rosca, ovo, c/ sal, frito (c/ óleo de soja)),",,Cereais e derivados,0.62,0.00,29.2,30.9,2.01,0.12,,39.5,218,1399,335,64.9,1.95,1.78,189,,18.9,22.4,0.96,134,11.2,,,0.17,0.47,12.5,363,0.10,37.0,56.6,57.0,0.61,0.01,0.00,0.17,1.37,4.49,7.00,5.98,0.27,0.00
C0967B,"Tomate, maduro, cozido, s/ óleo, s/ sal,",,Vegetais e derivados,0.56,0.00,3.30,4.00,0.60,0.08,,0.00,11.0,82,19,13.0,0.68,0.70,28.0,,0.11,9.00,0.53,218,0.95,,,0.02,0.00,,3.13,0.04,94.3,24.0,,0.00,0.08,22.8,0.00,0.14,0.02,0.04,0.02,0.00,0.00
C0080F,"Croquete, carne, boi, industrializada, frita, c / sal, Bos taurus,",,Carnes e derivados,0.43,,18.1,18.1,3.08,0.09,,38.1,18.1,1434,344,,2.31,,176,,22.7,29.5,4.77,313,16.9,,,0.04,,,916,0.14,39.2,22.5,,1.31,,,0.10,3.30,7.05,10.5,4.88,0.27,0.00
C0538A,"Arroz com salsicha, c/ arroz polido, c/ sal, (arroz polido, c/ salsicha, tomate, c/ óleo, cebola e alho, c/ sal),",,Cereais e derivados,0.52,0.00,19.8,21.2,1.09,0.12,,6.93,8.43,653,156,5.02,0.47,1.35,44.2,,6.40,20.0,0.34,139,4.02,,,0.03,0.47,1.12,195,0.03,67.3,11.1,21.5,0.15,0.05,3.95,0.11,0.69,2.28,1.86,1.87,0.21,0.00
C0250T,"Falafel, c/ grão de bico, frito, s/ sal, (grão de bico, cebola, amido de milho, alho, azeite de oliva, cheiro verde, pimenta do reino, óleo para fritura, s/ sal),",,Leguminosas e derivados,0.98,0.00,14.0,18.7,0.81,0.31,,0.00,41.1,953,230,81.7,1.68,4.63,81.1,,16.2,25.7,0.12,261,4.65,,,0.02,0.00,1.75,5.43,0.08,59.7,28.5,56.9,0.00,0.36,4.92,0.00,1.23,5.71,7.77,2.51,0.06,0.00
C0726F,"Hambúrguer, bovino, grelhado, c/ molho de tomate (tomate, c/ óleo de soja, cebola e alho, c/ sal),",,Carnes e derivados,0.31,,9.00,10.4,3.42,0.17,,46.8,47.3,756,181,10.3,2.21,1.41,217,,11.0,41.3,4.61,491,10.9,,,0.05,,16.8,953,0.17,64.3,13.7,27.3,2.05,0.01,4.31,0.00,2.46,4.08,1.58,4.24,0.29,0.00
C0019D,"Óleo, abacate, Persea americana,",,Gorduras e óleos,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,3700,900,0.00,0.00,0.00,0.00,,100.0,0.00,0.00,0.00,0.00,,,0.00,0.00,,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,67.7,11.7,20.4,,0.00
C0072R,"Sopa, creme de ervilha, c/ bacon, desidratada, Maggi,",,Alimentos industrializados,,,62.4,66.5,15.9,,,4.83,0.00,1403,332,,4.42,4.10,0.00,,3.70,0.00,,0.00,10.1,,,,,,2027,,3.79,241,,,,,,0.00,1.43,0.71,1.09,,0.00
C1029B,"Salada, repolho roxo, cru, c/ azeite de oliva, s/ sal,",,Vegetais e derivados,0.78,0.00,3.06,4.68,0.48,0.58,,0.00,28.2,235,57,12.0,0.36,1.61,37.2,,4.06,11.6,0.00,211,1.18,,,0.00,0.00,0.40,1.59,0.05,89.6,20.7,41.4,0.00,,27.9,0.00,0.16,2.93,0.48,0.60,0.00,0.00
C0027H,"Bebida, infusão, mentrasto, planta, folha, s/ açúcar, Ageratum conyzoides L.,",,Bebidas,0.00,0.00,0.30,0.30,0.00,,,0.00,316,5,1,1.00,0.08,0.00,0.00,,0.00,110,0.00,5.00,0.00,,,0.00,0.00,,0.90,0.01,99.7,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,
C0758F,"Carne, boi, fígado, grelhada, c/ molho de tomate (tomate, c/ óleo, cebola e alho), s/ sal, Bos taurus,",,Carnes e derivados,0.87,0.00,4.19,4.70,1.91,10.1,,481,6.77,793,189,235,4.73,0.51,343,,8.26,11.0,9.54,309,24.2,,,2.16,0.00,9.23,146,0.20,60.9,11672,11686,51.2,0.01,5.28,2.00,3.21,2.00,1.50,3.92,0.09,0.00
